time,latitude,longitude,speed,miles,miles_lap,rtc,millis,rpm,input_voltage,motor_watt_hours,motor_tempMosfet,motor_tempMotor,motor_current,battery_current,motor_dutyCycle,motor_error,rasp_temp,battery_ampere,battery_voltage,charge,battery_temperature,autonomy
14:50:41.031, , ,-1,0,0, ,148924,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:41.277, , ,-1,0,0, ,149136,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:41.534, , ,-1,0,0, ,149136,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:41.798, , ,-1,0,0, ,149524,0.00,91.50,0.00,11.50,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:42.043, , ,-1,0,0, ,149734,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:42.294, , ,-1,0,0, ,150124,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:42.550, , ,-1,0,0, ,150333,0.00,91.50,0.00,11.50,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:42.805, , ,-1,0,0, ,150333,0.00,91.50,0.00,11.50,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:43.057, , ,-1,0,0, ,150931,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:43.310, , ,-1,0,0, ,150931,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:43.568, , ,-1,0,0, ,151324,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:43.821, , ,-1,0,0, ,151324,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:44.078, , ,-1,0,0, ,151942,0.00,91.50,0.00,11.50,7.50,0.00,0.00,0.01,0,29,0.40,93.60,79.50,18.00,0
14:50:44.332, , ,-1,0,0, ,151942,0.00,91.50,0.00,11.50,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:44.583, , ,-1,0,0, ,152325,0.00,91.50,0.00,11.50,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:44.834, , ,-1,0,0, ,152540,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:45.086, , ,-1,0,0, ,152925,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,26,0.40,93.60,79.50,18.00,0
14:50:45.337, , ,-1,0,0, ,153138,0.00,91.50,0.00,11.50,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:45.593, , ,-1,0,0, ,153138,0.00,91.50,0.00,11.50,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:45.855, , ,-1,0,0, ,153736,0.00,91.50,0.00,11.50,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
